ID,age,,education,education_cat,,,,,,capital_gain,capital_loss,hour_per_week,native_country,,
2905,31,4, Some-college,10,0,2,2,,0,0,1672,50,0,,
6846,58,4, Assoc-voc,11,3,5,3,,1,0,0,40,0,,
23873,57,7, Some-college,10,0,5,2,3,0,0,0,35,0,,
27746,36,2, HS-grad,9,0,9,2,,0,0,0,35,0,,
25673,42,4, HS-grad,9,6,6,5,,0,0,0,40,17,,
10811,21,4, Assoc-acdm,12,2,8,3,,1,0,0,25,0,,
2675,23,4, 7th-8th,4,2,2,3,,0,0,0,25,20,,
9296,36,4, Bachelors,13,2,4,3,,0,0,0,70,0,,
7733,43,4, Prof-school,15,6,0,3,,0,0,0,50,29,,
12547,39,4, Bachelors,13,0,4,2,,0,0,0,45,0,,
12148,17,4, 10th,6,2,2,1,,0,0,0,40,0,,
7088,45,4, Masters,14,1,4,3,,1,0,0,40,0,,
24586,29,7, 10th,6,2,2,1,3,1,0,0,40,0,,
26750,64,4, Masters,14,2,5,4,,1,0,0,8,0,,
19499,58,6, 10th,6,0,1,2,,0,0,0,40,0,,
21191,42,5, Masters,14,2,5,3,,1,0,0,40,0,,
27441,51,4, HS-grad,9,0,7,2,3,0,0,0,40,0,,
14765,40,5, Assoc-voc,11,1,4,5,,1,0,0,40,0,,
23331,21,, Some-college,10,2,,4,,0,0,0,10,0,,
9478,19,, Some-college,10,2,,1,,1,0,0,40,0,,
5851,18,4, 10th,6,2,2,1,,0,0,0,11,0,,
23493,37,4, Bachelors,13,2,9,3,,0,0,0,30,0,,
29451,43,5, Assoc-voc,11,0,4,2,,0,0,0,40,0,,
14517,19,4, HS-grad,9,0,1,2,,0,0,0,40,0,,
27289,24,4, Bachelors,13,2,3,1,3,0,0,0,40,0,,
22898,24,4, HS-grad,9,2,4,3,,0,0,0,50,0,,
30930,23,4, Assoc-voc,11,0,7,1,,1,0,0,30,0,,
20927,22,4, HS-grad,9,2,3,3,,0,0,0,40,0,,
2426,34,4, HS-grad,9,0,7,2,,0,0,0,44,0,,
8247,30,6, HS-grad,9,2,8,3,3,1,0,0,50,0,,
31691,40,5, Assoc-voc,11,0,12,2,,0,0,0,40,0,,
7063,31,6, Bachelors,13,2,4,1,,1,0,0,40,12,,
31186,45,4, Doctorate,16,0,5,2,1,0,0,0,45,11,,
16341,40,4, Some-college,10,0,5,0,,1,0,0,40,0,,
21171,26,4, HS-grad,9,2,6,1,3,0,0,0,28,0,,
30838,40,4, Masters,14,2,5,3,,0,0,0,35,0,,
32158,45,2, Some-college,10,0,4,2,,0,0,0,40,0,,
29860,52,5, Masters,14,0,5,2,,0,0,0,40,0,,
30499,20,4, Some-college,10,2,2,1,,0,0,0,33,,,
17197,57,4, Bachelors,13,0,3,2,,0,0,0,55,0,,
10328,48,2, Prof-school,15,1,5,5,,0,14084,0,63,0,,
13794,20,4, Some-college,10,2,2,1,,1,0,0,40,0,,
1388,40,2, Some-college,10,1,4,4,,0,0,1564,70,13,,
4195,18,4, 12th,8,2,1,1,,0,0,0,10,0,,
2489,52,2, 7th-8th,4,0,1,2,2,0,0,0,40,0,,
2541,63,4, Assoc-voc,11,3,8,5,,1,0,0,8,0,,
18947,29,4, Assoc-voc,11,2,4,3,,0,0,0,40,0,,
17704,23,4, Bachelors,13,2,5,3,,0,0,0,15,0,,
15809,34,4, HS-grad,9,1,8,1,,0,0,0,40,0,,
30175,28,4, Bachelors,13,2,5,3,,0,0,0,60,0,,
28338,44,2, Some-college,10,0,1,2,,0,0,1887,55,0,,
25963,19,4, HS-grad,9,2,8,1,,0,0,0,40,0,,
10465,31,4, 9th,5,1,8,3,,1,0,0,40,0,,
13841,34,4, Assoc-acdm,12,0,3,2,3,0,0,1902,50,0,,
12079,25,4, HS-grad,9,2,1,1,3,0,0,0,40,0,,
29070,58,2, Some-college,10,1,5,3,,1,0,0,40,0,,
30262,20,4, Some-college,10,2,0,1,,0,0,0,15,0,,
20066,33,4, HS-grad,9,0,1,2,,0,0,0,40,0,,
4476,53,7, Masters,14,0,5,2,,0,0,0,36,0,,
8260,23,4, HS-grad,9,2,1,3,,0,0,0,40,0,,
9701,44,4, Assoc-voc,11,0,6,2,3,0,0,0,40,0,,
13291,61,, Bachelors,13,0,,2,,0,0,0,10,0,,
8980,34,2, Prof-school,15,2,5,3,,1,0,0,60,0,,
20349,23,4, Bachelors,13,2,8,3,,1,0,0,40,0,,
738,43,7, Bachelors,13,0,5,2,,0,0,0,50,0,,
10680,18,, 11th,7,2,,5,3,1,0,0,50,0,,
20035,47,2, Bachelors,13,2,9,3,,0,0,0,65,0,,
13636,38,4, Bachelors,13,2,5,1,,0,0,0,40,0,,
18454,51,6, Bachelors,13,0,4,2,,0,0,1902,40,0,,
17269,36,4, 12th,8,0,1,2,4,0,0,0,40,0,,
31361,41,, Some-college,10,3,,5,3,1,0,0,20,0,,
27538,46,3, Bachelors,13,0,3,2,,0,0,0,55,0,,
8266,24,4, Bachelors,13,2,8,1,,1,0,0,40,0,,
2457,60,2, HS-grad,9,0,3,2,,0,0,0,40,0,,
14444,34,7, Some-college,10,0,12,2,,0,0,0,40,0,,
51,25,4, Some-college,10,0,4,0,4,1,0,0,40,0,,
10913,33,4, HS-grad,9,0,7,2,,0,0,0,40,0,,
12158,33,4, Bachelors,13,0,5,0,,1,0,0,40,0,,
15757,27,4, HS-grad,9,2,10,3,3,0,2174,0,40,0,,
19587,28,4, HS-grad,9,2,10,1,,0,0,0,40,0,,
15884,21,4, HS-grad,9,2,2,1,,0,0,0,40,0,,
17845,46,4, Some-college,10,2,7,3,,1,0,0,45,0,,
21205,33,4, Some-college,10,0,1,2,,0,0,0,40,0,,
30528,40,4, Bachelors,13,0,0,2,,0,0,0,40,0,,
13047,25,4, Some-college,10,0,3,2,,0,0,0,50,0,,
26684,49,4, Masters,14,0,3,2,,0,0,0,40,0,,
17332,39,4, Bachelors,13,0,5,2,,0,0,0,40,0,,
14324,24,4, Assoc-voc,11,2,1,1,,0,0,0,20,0,,
31860,24,4, HS-grad,9,2,3,5,,0,0,0,45,0,,
27160,50,3, Masters,14,0,5,2,,0,7298,0,50,0,,
17808,21,5, Some-college,10,2,5,3,,0,0,0,20,0,,
25937,46,4, HS-grad,9,2,6,1,,0,3674,0,30,0,,
17772,54,4, HS-grad,9,0,3,2,,0,0,1848,40,0,,
32244,33,4, HS-grad,9,2,7,3,,0,0,0,65,0,,
25308,51,4, 10th,6,6,8,5,3,1,0,0,40,0,,
25704,19,, Some-college,10,2,,1,,1,0,0,20,0,,
3885,51,5, Masters,14,0,5,2,,0,0,0,60,0,,
12665,28,3, HS-grad,9,2,4,1,,0,0,0,40,0,,
21388,66,2, Bachelors,13,0,3,2,,0,0,0,50,0,,
22945,38,4, Assoc-voc,11,0,6,2,,0,0,0,50,0,,
8215,66,4, HS-grad,9,0,6,2,,0,0,0,10,0,,
4333,36,4, Doctorate,16,0,5,2,,0,0,0,50,1,,
12954,26,4, Masters,14,2,5,3,,1,0,0,40,0,,
9183,46,4, Some-college,10,0,3,2,,0,0,0,48,0,,
24392,17,4, 10th,6,2,2,1,,1,0,0,25,0,,
26160,61,4, Bachelors,13,0,5,2,,0,0,0,40,0,,
26460,34,7, Masters,14,0,4,2,,0,0,0,38,0,,
22736,43,5, Masters,14,0,4,0,2,1,0,0,50,0,,
23758,27,4, Some-college,10,2,1,3,,0,0,0,45,0,,
10442,23,4, 12th,8,2,2,5,3,0,0,0,38,0,,
24919,31,6, HS-grad,9,2,7,5,,1,0,0,40,0,,
8953,37,4, HS-grad,9,0,10,2,,0,0,0,40,0,,
11028,61,, Prof-school,15,0,,2,,0,0,0,40,0,,
22209,35,2, HS-grad,9,0,1,0,3,1,0,0,40,0,,
30504,43,4, Some-college,10,2,6,3,,0,0,0,40,0,,
30556,30,2, HS-grad,9,0,9,2,,0,0,0,40,0,,
22913,23,5, Some-college,10,2,12,1,,0,0,0,40,0,,
27270,26,2, HS-grad,9,2,9,1,,0,0,0,60,0,,
23302,45,4, Bachelors,13,1,3,3,,0,0,0,60,0,,
24480,35,4, Some-college,10,6,1,3,,0,0,0,40,0,,
392,27,4, Bachelors,13,2,1,3,,0,0,0,50,0,,
1705,22,, Some-college,10,1,,3,,1,0,0,35,0,,
5284,40,4, Masters,14,1,5,3,,0,0,0,43,0,,
22396,26,5, Bachelors,13,2,5,1,3,1,0,0,35,0,,
13655,49,5, Masters,14,0,5,2,,0,0,0,40,0,,
25846,29,7, Some-college,10,0,12,2,,0,0,0,40,0,,
26436,38,4, Some-college,10,1,4,5,,1,0,0,40,0,,
16569,25,4, HS-grad,9,6,1,3,,0,0,0,40,0,,
15670,31,4, Bachelors,13,0,4,2,3,0,0,1887,40,0,,
2487,75,, 9th,5,0,,2,3,0,1409,0,5,0,,
30810,46,4, Some-college,10,1,8,3,,1,0,0,40,0,,
10924,30,4, HS-grad,9,2,6,1,,0,0,0,40,0,,
30508,25,5, HS-grad,9,2,6,4,3,0,0,0,40,0,,
23236,19,4, Some-college,10,2,3,1,,1,0,0,15,0,,
2461,38,4, Assoc-voc,11,0,1,2,,0,4386,0,40,0,,
22437,31,4, Bachelors,13,0,5,2,,0,0,0,50,0,,
9501,27,, HS-grad,9,0,,0,,1,0,0,40,0,,
30738,31,2, 9th,5,0,1,2,,0,0,0,40,0,,
7137,25,, Assoc-acdm,12,0,,2,,0,0,0,13,0,,
31153,57,4, Assoc-acdm,12,1,7,3,,0,0,0,40,0,,
14035,36,4, HS-grad,9,0,3,2,,0,0,0,50,0,,
7627,50,4, 7th-8th,4,0,1,2,,0,0,0,40,0,,
15700,56,4, HS-grad,9,1,1,3,,0,0,0,42,0,,
14006,76,, HS-grad,9,3,,3,,1,0,0,25,0,,
1374,46,3, Bachelors,13,0,3,2,,0,0,0,52,0,,
18731,65,, HS-grad,9,3,,5,,1,2329,0,40,0,,
30002,27,4, HS-grad,9,2,8,1,3,0,0,0,40,0,,
32111,33,4, HS-grad,9,1,1,3,,0,0,0,60,0,,
15964,38,4, 7th-8th,4,0,9,2,,0,0,0,40,0,,
28687,49,, HS-grad,9,0,,2,,0,0,0,40,0,,
19660,30,4, HS-grad,9,0,3,2,,0,0,0,42,0,,
30344,41,4, Some-college,10,0,4,1,,0,0,0,40,0,,
14761,36,4, Bachelors,13,0,5,2,,0,0,0,40,0,,
4172,50,5, HS-grad,9,1,2,5,,1,0,0,49,24,,
6357,49,2, Bachelors,13,2,3,3,,0,0,0,45,0,,
31958,26,4, HS-grad,9,0,2,0,,1,0,0,30,0,,
4874,35,4, Bachelors,13,0,3,2,,0,0,0,45,0,,
22390,51,2, HS-grad,9,0,9,2,,0,3103,0,60,0,,
19054,27,4, HS-grad,9,2,10,3,,0,0,0,40,0,,
18920,46,7, Some-college,10,1,8,5,,1,0,0,48,0,,
4533,25,4, HS-grad,9,1,6,1,1,1,0,0,40,15,,
21508,23,4, Some-college,10,2,7,1,3,0,0,0,40,0,,
10679,42,2, HS-grad,9,0,9,2,,0,0,0,15,0,,
17552,39,4, Bachelors,13,0,4,2,,0,0,0,45,0,,
32531,35,, Bachelors,13,0,,0,,1,0,0,55,0,,
2610,45,7, Some-college,10,0,4,2,,0,0,0,40,0,,
17148,44,4, Bachelors,13,0,5,0,,1,0,0,20,0,,
12888,50,2, HS-grad,9,0,9,2,,0,0,0,30,0,,
24649,31,4, Some-college,10,1,8,3,,1,0,0,50,0,,
31810,54,6, HS-grad,9,0,4,2,,0,5178,0,40,0,,
25997,64,4, HS-grad,9,0,1,2,,0,0,0,40,0,,
18396,47,5, Bachelors,13,1,5,3,3,1,0,0,40,0,,
2213,42,4, HS-grad,9,0,6,2,,0,0,0,40,0,,
6075,55,4, 11th,7,3,8,5,,1,0,0,40,0,,
26606,62,4, HS-grad,9,0,7,2,,0,0,0,48,0,,
16074,34,2, 11th,7,0,10,2,,0,0,0,60,0,,
18109,37,4, Bachelors,13,0,4,2,,0,0,0,40,0,,
23825,35,4, Some-college,10,0,1,2,,0,0,0,40,0,,
13171,54,2, Masters,14,1,5,3,,0,0,0,50,0,,
30059,51,6, HS-grad,9,0,4,2,,0,0,0,57,0,,
10299,51,5, HS-grad,9,0,1,2,,0,0,0,40,0,,
27879,38,6, Some-college,10,0,8,2,,0,0,0,45,0,,
8150,22,4, 10th,6,2,10,3,2,0,0,0,40,0,,
3303,61,4, HS-grad,9,0,8,2,,0,0,0,3,0,,
29553,34,4, Some-college,10,0,1,2,1,0,0,0,40,15,,
25765,52,4, Some-college,10,0,4,2,,0,0,0,45,0,,
29820,52,, HS-grad,9,0,,2,,0,0,0,35,0,,
21833,36,4, Bachelors,13,2,5,3,,0,0,0,40,0,,
7503,40,4, Some-college,10,6,2,3,,1,0,0,40,0,,
5725,21,4, Some-college,10,2,6,1,,0,0,0,12,0,,
15161,53,4, Bachelors,13,0,5,2,,0,0,0,55,0,,
9663,32,4, Some-college,10,2,3,1,,0,0,0,35,0,,
25610,21,4, Some-college,10,2,8,1,,1,0,0,40,0,,
12985,60,2, HS-grad,9,1,1,5,,1,0,0,40,0,,
22414,55,4, HS-grad,9,0,0,2,,0,0,0,20,0,,
1972,31,, 11th,7,6,,3,3,0,0,0,40,0,,
28141,36,4, HS-grad,9,1,1,3,,0,0,0,55,0,,
28227,72,2, HS-grad,9,0,9,2,,0,0,0,40,0,,
13993,31,4, Some-college,10,0,0,2,,0,0,0,40,0,,
18401,27,3, HS-grad,9,2,3,3,,0,0,0,50,0,,
17713,39,4, HS-grad,9,0,6,2,,0,0,0,40,0,,
22016,33,4, Some-college,10,2,3,3,,0,0,0,50,0,,
26146,25,, Assoc-acdm,12,2,,1,,1,0,0,40,0,,
2084,42,4, HS-grad,9,1,7,3,,0,0,0,45,0,,
15006,30,4, Bachelors,13,2,4,1,1,1,0,0,52,27,,
5813,44,4, HS-grad,9,1,10,3,3,0,0,0,20,28,,
17076,51,2, 10th,6,3,10,4,,1,0,0,40,0,,
19430,38,5, Some-college,10,0,1,2,,0,0,0,45,0,,
1487,30,4, HS-grad,9,2,8,5,,0,0,2001,42,0,,
8370,26,4, HS-grad,9,0,3,2,,0,0,0,40,0,,
28080,39,7, HS-grad,9,2,2,5,3,1,0,0,40,0,,
5012,38,2, 5th-6th,3,2,10,3,,0,0,0,40,0,,
2846,50,4, Some-college,10,0,3,2,,0,0,0,45,0,,
25051,21,4, HS-grad,9,2,3,1,,0,0,0,30,0,,
9562,56,4, Bachelors,13,2,4,3,,1,0,0,45,0,,
7226,23,4, HS-grad,9,2,3,3,,0,0,0,40,0,,
11510,74,4, 10th,6,3,2,3,3,1,0,0,6,0,,
3316,68,4, 12th,8,3,3,3,,1,0,0,30,0,,
20647,19,, Some-college,10,2,,1,,0,0,0,22,0,,
1846,45,6, HS-grad,9,2,10,3,3,0,3325,0,40,0,,
6752,54,2, Prof-school,15,0,5,2,1,0,99999,0,50,15,,
21200,35,4, Bachelors,13,0,5,2,,0,0,0,50,0,,
13877,31,4, HS-grad,9,0,7,2,,0,0,0,40,0,,
10363,45,4, HS-grad,9,0,3,2,,0,0,0,60,0,,
4051,44,4, Bachelors,13,0,3,2,,0,0,0,60,0,,
5868,25,4, Bachelors,13,0,1,2,,0,0,0,60,0,,
17419,35,4, Bachelors,13,0,3,2,,0,0,0,40,0,,
3773,52,4, Assoc-voc,11,0,10,2,,0,0,0,56,0,,
25622,25,4, Bachelors,13,0,5,2,,0,0,0,40,0,,
8317,64,5, HS-grad,9,0,6,2,,0,3471,0,40,0,,
27070,27,7, Bachelors,13,2,5,3,,0,0,0,50,0,,
6038,26,2, 7th-8th,4,0,10,2,,0,0,0,40,0,,
25949,31,4, Some-college,10,0,8,0,,1,0,0,40,0,,
31961,36,3, Assoc-acdm,12,0,5,2,,0,0,0,70,0,,
28650,54,4, HS-grad,9,0,1,2,,0,0,0,40,9,,
29643,45,3, Bachelors,13,1,4,5,,0,0,0,50,0,,
2442,61,4, 9th,5,0,7,2,3,0,0,0,20,37,,
27725,57,4, HS-grad,9,0,10,2,,0,0,0,40,0,,
4368,33,4, HS-grad,9,0,7,2,1,0,0,0,40,10,,
16366,61,4, 12th,8,0,2,0,,1,0,0,40,0,,
12641,36,4, Assoc-voc,11,0,6,2,,0,0,0,38,0,,
11212,60,2, HS-grad,9,1,1,3,,0,0,0,50,0,,
8422,47,2, Some-college,10,1,4,3,,1,0,0,65,0,,
20606,34,4, 7th-8th,4,0,10,2,,0,0,0,40,0,,
25994,66,4, Assoc-acdm,12,1,8,5,,1,0,0,40,0,,
31907,48,4, Assoc-acdm,12,0,5,0,,1,0,0,30,0,,
20144,23,4, Assoc-voc,11,2,4,1,,0,0,0,40,0,,
26840,41,4, Some-college,10,0,7,2,,0,0,0,40,0,,
28729,36,4, Some-college,10,0,3,2,3,0,7688,0,50,0,,
10813,37,4, HS-grad,9,1,2,3,,0,0,0,40,0,,
4192,26,4, Some-college,10,2,7,3,3,1,0,0,38,0,,
12611,42,4, Masters,14,1,8,3,,1,0,0,25,0,,
19177,40,4, Some-college,10,2,8,3,,1,0,0,40,0,,
19630,20,4, HS-grad,9,2,6,3,,0,0,0,40,0,,
3274,33,4, HS-grad,9,0,1,2,,0,0,0,50,0,,
12430,49,4, Prof-school,15,0,5,2,,0,0,0,60,0,,
20159,42,4, 7th-8th,4,0,1,2,,0,0,0,40,0,,
1114,69,4, HS-grad,9,0,3,0,,1,0,0,40,0,,
20641,35,2, Some-college,10,0,2,2,,0,0,0,40,0,,
7685,32,4, Some-college,10,0,4,2,,0,3464,0,40,0,,
16217,20,4, HS-grad,9,2,2,4,4,0,0,0,40,20,,
21286,50,4, 9th,5,0,7,2,,0,0,0,40,0,,
28251,51,4, HS-grad,9,0,8,2,,0,0,0,40,0,,
132,24,4, HS-grad,9,2,2,3,,1,0,1762,40,0,,
10004,49,3, Masters,14,6,4,3,,0,0,0,70,0,,
27817,33,2, HS-grad,9,0,1,2,,0,0,0,40,0,,
7347,43,4, HS-grad,9,0,1,2,,0,0,0,40,0,,
31216,49,4, Some-college,10,6,4,5,3,1,0,0,60,0,,
3213,49,4, Bachelors,13,0,3,2,,0,0,2415,55,0,,
158,71,2, Some-college,10,6,3,5,3,0,0,1816,2,0,,
4872,25,4, HS-grad,9,2,8,1,,1,0,0,40,0,,
19983,30,5, HS-grad,9,0,1,2,,0,0,0,40,0,,
615,27,4, Bachelors,13,2,2,1,,1,0,0,20,0,,
258,32,4, HS-grad,9,6,2,3,,1,0,0,30,0,,
10819,32,4, HS-grad,9,0,8,2,,0,0,0,40,0,,
4022,19,, Some-college,10,2,,1,,1,0,0,45,0,,
7051,31,4, 10th,6,2,8,5,3,1,0,0,40,0,,
8436,19,4, Some-college,10,2,8,1,,0,0,0,40,0,,
13826,54,2, 10th,6,0,1,2,,0,0,0,36,0,,
22277,39,4, Some-college,10,1,4,3,,0,0,0,50,0,,
6267,31,4, HS-grad,9,0,1,2,,0,0,0,40,0,,
18419,35,4, HS-grad,9,0,8,0,,1,0,1887,42,0,,
13815,23,4, Some-college,10,0,3,0,,1,0,0,40,0,,
17358,38,4, HS-grad,9,0,1,2,,0,0,0,50,0,,
29523,39,4, Some-college,10,0,1,2,,0,0,0,45,0,,
9145,25,4, Bachelors,13,0,5,2,,0,0,0,40,0,,
29378,42,4, HS-grad,9,4,6,4,1,0,0,0,40,,,
6941,21,4, HS-grad,9,2,8,3,,0,0,0,40,0,,
